ULPIN_ID,Scene_ID,Building_ID,Centroid_X,Centroid_Y,Footprint_Area_m2,Building_Height_m,Building_Volume_m3,Roof_Area_m2,Roof_Height_m,Roof_Centroid_X,Roof_Centroid_Y,Point_Count,Roof_Point_Count,Roof_Footprint_Ratio,Estimated_Floors,Building_Type,Usable_Roof_Area_m2,Estimated_Solar_Capacity_kW,Has_3D_Geometry,2D_Roof_ID,YOLO_Confidence,Roof_Pixel_X,Roof_Pixel_Y,Matched_ULPIN_ID,Matched_Building_ID,3D_Centroid_X,3D_Centroid_Y,3D_Scene3_Pixel_X,3D_Scene3_Pixel_Y,Pixel_Distance,Match_Score,Match_Accepted,Roof_Detected_2D,Data_Status,Solar_Data_Available
IN3D-01-0000,1,0,18.041,-1.757,102.72,5.53,567.55,96.19,3.21,18.262,-1.474,1558,754,0.936,2,Low-rise,72.14,7.21,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0001,1,1,60.609,55.508,72.27,4.28,309.35,65.02,1.85,60.196,55.692,1013,455,0.9,1,Low-rise,48.76,4.88,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0002,1,2,-71.296,7.191,427.03,9.23,3940.53,373.57,3.32,-71.942,6.001,4263,2197,0.875,3,Mid-rise,280.18,28.02,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0003,1,3,5.465,-47.448,180.97,5.39,974.87,169.12,2.01,4.863,-47.128,2197,564,0.935,2,Low-rise,126.84,12.68,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0004,1,4,49.197,55.887,148.35,4.98,739.15,136.68,3.32,48.715,55.389,1481,803,0.921,2,Low-rise,102.51,10.25,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0005,1,5,-71.133,-60.46,75.97,5.56,422.43,68.9,2.13,-70.431,-59.699,1033,238,0.907,2,Low-rise,51.68,5.17,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0006,1,6,-62.987,-56.65,90.38,5.24,473.28,76.77,2.34,-63.253,-57.184,1176,614,0.849,2,Low-rise,57.58,5.76,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0007,1,7,-42.467,23.555,98.77,4.52,446.77,94.25,0.79,-42.204,24.268,885,341,0.954,2,Low-rise,70.69,7.07,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0008,1,8,23.643,79.213,117.83,4.87,573.72,110.58,2.18,22.7,80.338,1276,596,0.938,2,Low-rise,82.94,8.29,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0009,1,9,-79.619,-3.215,51.71,3.3,170.77,46.99,0.92,-78.667,-3.674,446,210,0.909,1,Single-storey,35.24,3.52,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0010,1,10,17.993,-14.22,111.78,7.66,856.53,99.85,5.36,18.614,-13.818,2045,1083,0.893,3,Low-rise,74.89,7.49,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0011,1,11,41.116,71.994,133.16,14.18,1887.75,128.45,3.96,41.097,73.132,6710,1840,0.965,5,Mid-rise,96.34,9.63,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
